Designator,Mid X,Mid Y,Rotation,Layer
C100,123.8,-94.9,270.0,top
C101,124.8,-94.9,270.0,top
C102,125.8,-94.9,270.0,top
C103,142.25,-84.55,0.0,top
C104,136.0,-79.75,180.0,top
C105,136.0,-80.8,180.0,top
C106,140.2,-86.35,0.0,top
C107,143.5,-87.5,90.0,top
C108,141.2,-69.75,90.0,top
C109,140.75,-75.5,180.0,top
C200,114.25,-58.0,180.0,top
C201,114.25,-59.0,180.0,top
C202,114.25,-61.02,180.0,top
C203,104.75,-67.5,0.0,top
C204,104.75,-76.5,0.0,top
C300,137.5,-69.775,270.0,top
C301,141.55,-67.25,90.0,top
C302,139.25,-69.77,270.0,top
C303,114.25,-63.0,0.0,top
C304,110.0,-83.15,0.0,top
C305,110.0,-79.4,180.0,top
C306,114.25,-69.25,180.0,top
C400,136.0,-78.75,180.0,top
C401,136.0,-77.72,180.0,top
C402,136.0,-76.75,180.0,top
D100,119.3,-91.3,90.0,top
D101,114.7,-91.3,90.0,top
D102,122.7,-94.9,270.0,top
D103,109.35,-88.05,180.0,top
D104,109.33,-86.0,180.0,top
D300,109.35,-90.05,180.0,top
D400,141.4,-77.0,0.0,top
D401,144.4,-71.8,180.0,top
D402,144.4,-73.1,180.0,top
D403,144.4,-74.4,180.0,top
D404,131.7,-92.5,90.0,top
D405,133.0,-92.5,90.0,top
D406,134.3,-92.5,90.0,top
D407,143.1,-67.7,180.0,top
D408,143.1,-66.5,180.0,top
D409,107.0,-83.25,0.0,top
D410,107.0,-84.75,0.0,top
IC1,109.5,-67.25,0.0,top
J1,109.55,-68.25,90.0,bottom
J100,117.0,-97.59,0.0,top
J2,136.0,-55.0754,180.0,bottom
J200,125.0,-84.963925,270.0,top
J400,105.0754,-84.0,270.0,top
J401,105.0754,-84.0,90.0,bottom
J402,144.9246,-67.0,90.0,top
J403,145.1746,-75.0,270.0,bottom
J404,133.0,-94.8746,0.0,bottom
J405,145.1746,-82.0,90.0,top
J406,119.0,-55.0754,180.0,bottom
J407,133.0,-97.5,180.0,top
L101,141.5,-89.5,90.0,top
Q300,137.25,-61.75,90.0,top
Q301,140.75,-61.75,90.0,top
Q302,137.25,-72.75,270.0,top
R1,130.0,-84.75,180.0,top
R100,120.5,-91.2,270.0,top
R101,113.5,-91.3,270.0,top
R102,142.5,-79.0,180.0,top
R103,142.5,-80.0,180.0,top
R104,112.0,-88.0,180.0,top
R106,135.7,-88.85,270.0,top
R107,134.7,-88.85,90.0,top
R108,112.0,-86.04,180.0,top
R2,135.8,-66.6,0.0,top
R200,114.25,-60.02,180.0,top
R201,114.25,-73.01,0.0,top
R202,114.25,-74.0,0.0,top
R205,114.25,-71.75,180.0,top
R206,120.6,-77.5,270.0,top
R300,137.25,-59.0,0.0,top
R301,140.75,-59.0,0.0,top
R302,114.25,-66.25,180.0,top
R303,125.5,-77.5,270.0,top
R304,112.0,-90.05,180.0,top
R400,124.5,-77.5,270.0,top
R401,114.25,-65.25,180.0,top
S200,102.0,-64.75,270.0,top
S201,102.0,-73.75,270.0,top
U100,139.25,-80.5,180.0,top
U101,137.95,-89.65,90.0,top
U102,140.75,-72.75,270.0,top
U200,125.0,-63.0,0.0,top
U201,117.0,-90.75,270.0,top
U300,139.0,-66.75,0.0,top
U301,109.5,-81.4,270.0,top
